Node-Id,Node-Title,authorityCentrality-1-Meta Network,authorityCentrality-1-Meta Network-unscaled,authorityCentrality-2-Meta Network,authorityCentrality-2-Meta Network-unscaled,betweennessCentrality-1-Meta Network,betweennessCentrality-1-Meta Network-unscaled,betweennessCentrality-2-Meta Network,betweennessCentrality-2-Meta Network-unscaled,betweennessCentrality-3-Meta Network,betweennessCentrality-3-Meta Network-unscaled,bonacichPowerCentrality-1-Meta Network,bonacichPowerCentrality-1-Meta Network-unscaled,bonacichPowerCentrality-2-Meta Network,bonacichPowerCentrality-2-Meta Network-unscaled,closenessCentrality-1-Meta Network,closenessCentrality-1-Meta Network-unscaled,closenessCentrality-2-Meta Network,closenessCentrality-2-Meta Network-unscaled,closenessCentrality-3-Meta Network,closenessCentrality-3-Meta Network-unscaled,contributionCentrality-1-Meta Network,contributionCentrality-1-Meta Network-unscaled,contributionCentrality-2-Meta Network,contributionCentrality-2-Meta Network-unscaled,eccentricityCentrality-1-Meta Network,eccentricityCentrality-2-Meta Network,eccentricityCentrality-3-Meta Network,egoBetweennessCentrality-1-Meta Network,egoBetweennessCentrality-2-Meta Network,eigenvectorCentrality-1-Meta Network,eigenvectorCentrality-1-Meta Network-unscaled,eigenvectorCentrality-2-Meta Network,eigenvectorCentrality-2-Meta Network-unscaled,exponentialRankCentrality-1-Meta Network,exponentialRankCentrality-1-Meta Network-unscaled,exponentialRankCentrality-2-Meta Network,exponentialRankCentrality-2-Meta Network-unscaled,hubCentrality-1-Meta Network,hubCentrality-1-Meta Network-unscaled,hubCentrality-2-Meta Network,hubCentrality-2-Meta Network-unscaled,inClosenessCentrality-1-Meta Network,inClosenessCentrality-1-Meta Network-unscaled,inClosenessCentrality-2-Meta Network,inClosenessCentrality-2-Meta Network-unscaled,inClosenessCentrality-3-Meta Network,inClosenessCentrality-3-Meta Network-unscaled,inDegreeCentrality-1-Meta Network,inDegreeCentrality-1-Meta Network-unscaled,inDegreeCentrality-2-Meta Network,inDegreeCentrality-2-Meta Network-unscaled,inDegreeCentrality-3-Meta Network,inDegreeCentrality-3-Meta Network-unscaled,inDegreeCentrality-4-Meta Network,inDegreeCentrality-4-Meta Network-unscaled,inInverseClosenessCentrality-1-Meta Network,inInverseClosenessCentrality-1-Meta Network-unscaled,inInverseClosenessCentrality-2-Meta Network,inInverseClosenessCentrality-2-Meta Network-unscaled,inInverseClosenessCentrality-3-Meta Network,inInverseClosenessCentrality-3-Meta Network-unscaled,informationCentrality-1-Meta Network,informationCentrality-1-Meta Network-unscaled,inverseClosenessCentrality-1-Meta Network,inverseClosenessCentrality-1-Meta Network-unscaled,inverseClosenessCentrality-2-Meta Network,inverseClosenessCentrality-2-Meta Network-unscaled,inverseClosenessCentrality-3-Meta Network,inverseClosenessCentrality-3-Meta Network-unscaled,katzCentrality-1-Meta Network,katzCentrality-1-Meta Network-unscaled,katzCentrality-2-Meta Network,katzCentrality-2-Meta Network-unscaled,outDegreeCentrality-1-Meta Network,outDegreeCentrality-1-Meta Network-unscaled,outDegreeCentrality-2-Meta Network,outDegreeCentrality-2-Meta Network-unscaled,outDegreeCentrality-3-Meta Network,outDegreeCentrality-3-Meta Network-unscaled,outDegreeCentrality-4-Meta Network,outDegreeCentrality-4-Meta Network-unscaled,pageRankCentrality-1-Meta Network,pageRankCentrality-2-Meta Network,potentialBoundarySpanner-1-Meta Network,potentialBoundarySpanner-2-Meta Network,radialityCentrality-1-Meta Network,radialityCentrality-1-Meta Network-unscaled,radialityCentrality-2-Meta Network,radialityCentrality-2-Meta Network-unscaled,radialityCentrality-3-Meta Network,radialityCentrality-3-Meta Network-unscaled,totalDegreeCentrality-1-Meta Network,totalDegreeCentrality-1-Meta Network-unscaled,totalDegreeCentrality-2-Meta Network,totalDegreeCentrality-2-Meta Network-unscaled,totalDegreeCentrality-3-Meta Network,totalDegreeCentrality-3-Meta Network-unscaled,totalDegreeCentrality-4-Meta Network,totalDegreeCentrality-4-Meta Network-unscaled,
1609,1609,3.360e-06,2.376e-06,2.874e-06,2.032e-06,1.342e-05,218.746,1.342e-05,218.746,3.195e-05,260.393,2.159e-05,0.025,2.201e-06,0.096,3.835e-04,0,3.835e-04,0,2.549e-06,0,0.069,0.049,8.424e-05,5.957e-05,14,14,7,0.010,8.385e-04,1.713e-05,1.211e-05,2.874e-06,2.032e-06,0.597,2.761e-04,0.993,2.477e-04,2.874e-06,2.032e-06,2.874e-06,2.032e-06,2.099e-05,0,2.099e-05,0,0,0,0.016,65,0.016,65,7.905e-04,3330,0.089,360,0.079,317.411,0.079,317.411,0.314,1268.603,3.606e-04,4.552,0.084,337.600,0.084,337.600,0.314,1268.602,0.191,0.240,0.068,0.096,0.007,27,0.007,27,7.905e-04,3330,0.089,360,1.763e-04,7.078e-04,1.377e-05,0,0.354,5779877,0.354,5779877,0.907,15426810880.000,0.011,92,0.011,92,7.905e-04,3330,0.089,360,
1610,1610,6.020e-06,4.257e-06,3.371e-06,2.384e-06,4.828e-04,7870.446,4.828e-04,7870.446,5.869e-05,478.348,4.600e-05,0.054,4.189e-06,0.182,3.834e-04,0,3.834e-04,0,2.549e-06,0,0.112,0.079,9.592e-05,6.783e-05,13,13,7,0.015,4.069e-04,2.867e-05,2.027e-05,3.372e-06,2.384e-06,0.690,3.190e-04,0.994,2.479e-04,3.372e-06,2.384e-06,3.371e-06,2.384e-06,2.100e-05,0,2.100e-05,0,0,0,0.030,121,0.030,121,0.001,6280,0.090,365,0.085,344.401,0.085,344.401,0.322,1298.253,3.963e-04,5.003,0.089,360.867,0.089,360.867,0.322,1298.252,0.356,0.447,0.130,0.182,0.014,58,0.014,58,0.001,6280,0.090,365,2.873e-04,0.001,2.546e-04,0,0.354,5776367,0.354,5776367,0.907,15426811904.000,0.022,179,0.022,179,0.001,6280,0.090,365,
1611,1611,0,0,0,0,8.269e-05,1347.985,8.269e-05,1347.985,1.840e-06,15.000,1.193e-05,0.014,0,0.019,2.527e-04,0,2.527e-04,0,2.549e-06,0,0.008,0.006,4.779e-06,3.379e-06,8,8,7,0.015,0.003,2.702e-06,1.911e-06,0,0,0.580,2.684e-04,0.993,2.476e-04,0,0,0,0,2.099e-05,0,2.099e-05,0,0,0,0.014,56,0.014,56,1.818e-04,766,0.030,121,0.072,291.756,0.072,291.756,0.259,1045.832,3.232e-04,4.080,0.009,35.292,0.009,35.292,0.259,1045.831,0.156,0.196,0.014,0.019,0.004,16,0.004,16,1.818e-04,766,0.030,121,2.866e-04,1.664e-04,1.084e-04,0,0.020,330894,0.020,330894,0.907,15426808832.000,0.009,72,0.009,72,1.818e-04,766,0.030,121,
1612,1612,6.743e-06,4.768e-06,5.921e-06,4.186e-06,1.055e-04,1719.974,1.055e-04,1719.974,1.374e-05,112.021,5.234e-05,0.061,4.564e-06,0.198,3.831e-04,0,3.831e-04,0,2.549e-06,0,0.114,0.081,1.357e-04,9.595e-05,13,13,7,0.012,6.873e-04,3.322e-05,2.349e-05,5.921e-06,4.186e-06,0.696,3.217e-04,0.994,2.479e-04,5.921e-06,4.186e-06,5.921e-06,4.186e-06,2.100e-05,0,2.100e-05,0,0,0,0.031,124,0.031,124,0.002,6834,0.092,372,0.088,353.488,0.088,353.488,0.309,1246.370,4.005e-04,5.055,0.090,364.701,0.090,364.701,0.309,1246.369,0.365,0.459,0.141,0.198,0.016,66,0.016,66,0.002,6834,0.092,372,2.639e-04,0.001,5.242e-05,0,0.354,5768307,0.354,5768307,0.907,15426810880.000,0.024,190,0.024,190,0.002,6834,0.092,372,
1613,1613,6.206e-06,4.388e-06,3.695e-06,2.613e-06,3.163e-04,5156.573,3.163e-04,5156.573,9.206e-05,750.364,5.240e-05,0.061,4.654e-06,0.202,3.828e-04,0,3.828e-04,0,2.549e-06,0,0.115,0.081,1.041e-04,7.358e-05,13,13,7,0.013,4.690e-04,3.153e-05,2.230e-05,3.695e-06,2.613e-06,0.683,3.158e-04,0.994,2.479e-04,3.695e-06,2.613e-06,3.695e-06,2.613e-06,2.100e-05,0,2.100e-05,0,0,0,0.029,116,0.029,116,0.002,6974,0.093,377,0.088,356.812,0.088,356.812,0.327,1321.820,4.005e-04,5.056,0.090,364.181,0.090,364.181,0.327,1321.819,0.345,0.434,0.144,0.202,0.016,66,0.016,66,0.002,6974,0.093,377,3.128e-04,0.001,1.641e-04,0,0.353,5760255,0.353,5760255,0.907,15426811904.000,0.023,182,0.023,182,0.002,6974,0.093,377,
1614,1614,3.086e-06,2.182e-06,2.595e-06,1.835e-06,7.846e-06,127.894,7.846e-06,127.894,1.709e-05,139.302,1.880e-05,0.022,1.742e-06,0.076,3.785e-04,0,3.785e-04,0,2.549e-06,0,0.061,0.043,7.759e-05,5.487e-05,15,15,7,0.020,0.002,1.463e-05,1.035e-05,2.595e-06,1.835e-06,0.571,2.642e-04,0.993,2.477e-04,2.595e-06,1.835e-06,2.595e-06,1.835e-06,2.100e-05,0,2.100e-05,0,0,0,0.012,47,0.012,47,6.255e-04,2635,0.087,353,0.077,309.057,0.077,309.057,0.304,1227.286,3.531e-04,4.458,0.079,319.917,0.079,319.917,0.304,1227.286,0.142,0.178,0.054,0.076,0.006,24,0.006,24,6.255e-04,2635,0.087,353,1.456e-04,5.595e-04,1.043e-05,0,0.346,5642175,0.346,5642175,0.907,15426810880.000,0.009,71,0.009,71,6.255e-04,2635,0.087,353,
1615,1615,0,0,0,0,2.343e-05,381.871,2.343e-05,381.871,4.528e-05,369.094,3.673e-06,0.004,0,0.003,2.483e-04,0,2.483e-04,0,2.549e-06,0,0.005,0.003,1.420e-06,0,2,2,7,0.017,0.033,2.215e-06,1.566e-06,0,0,0.528,2.443e-04,0.993,2.475e-04,0,0,0,0,2.095e-05,0,2.095e-05,0,0,0,0.005,19,0.005,19,2.872e-05,121,0.014,57,0.052,211.882,0.052,211.882,0.304,1227.536,2.070e-04,2.614,0.002,8,0.002,8,0.304,1227.536,0.050,0.062,0.002,0.003,0.001,5,0.001,5,2.872e-05,121,0.014,57,2.183e-04,2.936e-05,9.214e-05,2.467e-05,0.003,44412,0.003,44412,0.907,15426810880.000,0.003,24,0.003,24,2.872e-05,121,0.014,57,
1616,1616,0,0,0,0,6.891e-05,1123.394,6.891e-05,1123.394,5.465e-05,445.472,1.037e-05,0.012,0,0.013,2.547e-04,0,2.547e-04,0,2.549e-06,0,0.008,0.006,4.482e-06,3.169e-06,8,8,7,0.038,0.013,3.390e-06,2.397e-06,0,0,0.552,2.551e-04,0.993,2.475e-04,0,0,0,0,2.097e-05,0,2.097e-05,0,0,0,0.009,36,0.009,36,1.215e-04,512,0.039,157,0.066,268.476,0.066,268.476,0.309,1249.753,3.119e-04,3.937,0.010,42.269,0.010,42.269,0.309,1249.752,0.098,0.124,0.009,0.013,0.003,14,0.003,14,1.215e-04,512,0.039,157,3.823e-04,1.114e-04,1.301e-04,7.036e-06,0.028,455998,0.028,455998,0.907,15426810880.000,0.006,50,0.006,50,1.215e-04,512,0.039,157,
1617,1617,4.530e-06,3.203e-06,5.636e-06,3.985e-06,0.002,24820.008,0.002,24820.008,4.074e-04,3320.772,3.119e-05,0.037,3.023e-06,0.131,3.786e-04,0,3.786e-04,0,2.549e-06,0,0.086,0.061,1.235e-04,8.732e-05,14,14,7,0.014,9.666e-04,6.221e-05,4.399e-05,5.636e-06,3.985e-06,0.619,2.862e-04,0.994,2.478e-04,5.636e-06,3.985e-06,5.636e-06,3.985e-06,2.100e-05,0,2.100e-05,0,0,0,0.019,78,0.019,78,0.001,4550,0.090,363,0.082,332.435,0.082,332.435,0.335,1352.770,3.803e-04,4.801,0.101,406.672,0.101,406.672,0.335,1352.769,0.233,0.293,0.093,0.131,0.010,39,0.010,39,0.001,4550,0.090,363,1.996e-04,9.662e-04,0.001,5.902e-06,0.346,5643469,0.346,5643469,0.907,15426811904.000,0.014,117,0.014,117,0.001,4550,0.090,363,
1618,1618,1.455e-04,1.029e-04,4.009e-06,2.834e-06,1.088e-04,1773.990,1.088e-04,1773.990,0.002,15579.111,5.858e-06,0.007,0,0.018,3.782e-04,0,3.782e-04,0,2.549e-06,0,0.019,0.013,6.990e-05,4.943e-05,14,14,7,0.065,0.051,1.073e-04,7.584e-05,4.009e-06,2.834e-06,0.527,2.436e-04,0.993,2.475e-04,4.009e-06,2.834e-06,4.009e-06,2.834e-06,2.097e-05,0,2.097e-05,0,0,0,0.004,17,0.004,17,1.469e-04,619,0.064,257,0.062,250.417,0.062,250.417,0.339,1368.470,2.434e-04,3.073,0.095,385.022,0.095,385.022,0.339,1368.469,0.047,0.060,0.013,0.018,0.002,7,0.002,7,1.469e-04,619,0.064,257,1.041e-04,1.311e-04,4.281e-04,2.035e-04,0.345,5631295,0.345,5631295,0.907,15426811904.000,0.003,24,0.003,24,1.469e-04,619,0.064,257,
1619,1619,3.917e-06,2.770e-06,1.599e-06,0,2.124e-05,346.228,2.124e-05,346.228,5.688e-06,46.364,2.660e-05,0.031,2.635e-06,0.115,3.165e-04,0,3.165e-04,0,2.549e-06,0,0.075,0.053,6.906e-05,4.883e-05,5,5,8,0.009,7.211e-04,1.889e-05,1.336e-05,1.599e-06,0,0.621,2.874e-04,0.994,2.477e-04,1.599e-06,0,1.599e-06,0,2.100e-05,0,2.100e-05,0,0,0,0.020,80,0.020,80,9.403e-04,3961,0.082,332,0.081,327.498,0.081,327.498,0.298,1202.243,3.735e-04,4.716,0.067,269.900,0.067,269.900,0.298,1202.243,0.237,0.298,0.081,0.115,0.008,34,0.008,34,9.403e-04,3961,0.082,332,1.985e-04,8.413e-04,1.759e-05,0,0.218,3551137,0.218,3551137,0.907,15426810880.000,0.014,114,0.014,114,9.403e-04,3961,0.082,332,
1620,1620,3.784e-06,2.676e-06,2.458e-06,1.738e-06,0.001,18767.686,0.001,18767.686,5.004e-04,4078.870,3.079e-05,0.036,2.812e-06,0.122,3.823e-04,0,3.823e-04,0,2.549e-06,0,0.089,0.063,8.169e-05,5.777e-05,14,14,7,0.040,0.004,1.947e-05,1.376e-05,2.458e-06,1.738e-06,0.633,2.927e-04,0.994,2.478e-04,2.458e-06,1.738e-06,2.458e-06,1.738e-06,2.100e-05,0,2.100e-05,0,0,0,0.022,89,0.022,89,0.001,4258,0.101,408,0.092,371.712,0.092,371.712,0.338,1364.986,3.803e-04,4.802,0.085,342.322,0.085,342.322,0.338,1364.986,0.256,0.321,0.087,0.122,0.010,39,0.010,39,0.001,4258,0.101,408,3.102e-04,9.045e-04,8.491e-04,7.746e-06,0.352,5747628,0.352,5747628,0.907,15426811904.000,0.016,128,0.016,128,0.001,4258,0.101,408,
1621,1621,6.856e-06,4.848e-06,7.260e-06,5.134e-06,0.005,78946.992,0.005,78946.992,3.418e-04,2786.096,4.613e-05,0.054,4.382e-06,0.191,3.784e-04,0,3.784e-04,0,2.549e-06,0,0.115,0.082,1.504e-04,1.064e-04,14,14,7,0.015,8.086e-04,7.179e-05,5.076e-05,7.260e-06,5.134e-06,0.710,3.285e-04,0.994,2.479e-04,7.260e-06,5.134e-06,7.260e-06,5.134e-06,2.101e-05,0,2.101e-05,0,0,0,0.032,131,0.032,131,0.002,6579,0.094,378,0.094,379.698,0.094,379.698,0.336,1355.187,3.963e-04,5.003,0.103,416.972,0.103,416.972,0.336,1355.186,0.390,0.491,0.136,0.191,0.014,58,0.014,58,0.002,6579,0.094,378,3.699e-04,0.001,0.002,3.425e-06,0.346,5639460,0.346,5639460,0.907,15426811904.000,0.023,189,0.023,189,0.002,6579,0.094,378,
1622,1622,6.185e-06,4.374e-06,3.383e-06,2.392e-06,5.482e-04,8936.195,5.482e-04,8936.195,1.574e-04,1282.571,4.619e-05,0.054,4.207e-06,0.183,3.780e-04,0,3.780e-04,0,2.549e-06,0,0.114,0.081,9.961e-05,7.044e-05,13,13,7,0.014,0.001,2.954e-05,2.089e-05,3.383e-06,2.392e-06,0.687,3.177e-04,0.994,2.479e-04,3.383e-06,2.392e-06,3.383e-06,2.392e-06,2.101e-05,0,2.101e-05,0,0,0,0.029,118,0.029,118,0.002,6335,0.095,385,0.091,367.081,0.091,367.081,0.333,1343.153,3.968e-04,5.010,0.087,353.269,0.087,353.269,0.333,1343.152,0.352,0.443,0.130,0.183,0.015,59,0.015,59,0.002,6335,0.095,385,3.015e-04,0.001,2.924e-04,1.637e-06,0.345,5627124,0.345,5627124,0.907,15426811904.000,0.022,177,0.022,177,0.002,6335,0.095,385,
1623,1623,3.620e-06,2.560e-06,2.313e-06,1.636e-06,8.488e-06,138.363,8.488e-06,138.363,8.369e-05,682.131,2.599e-05,0.030,2.545e-06,0.111,3.166e-04,0,3.166e-04,0,2.549e-06,0,0.072,0.051,7.936e-05,5.612e-05,5,5,7,0.011,0.002,1.736e-05,1.227e-05,2.313e-06,1.636e-06,0.603,2.789e-04,0.994,2.477e-04,2.313e-06,1.636e-06,2.313e-06,1.636e-06,2.101e-05,0,2.101e-05,0,0,0,0.017,67,0.017,67,9.077e-04,3824,0.087,350,0.078,313.875,0.078,313.875,0.322,1298.453,3.720e-04,4.696,0.057,228.833,0.057,228.833,0.322,1298.452,0.205,0.257,0.079,0.111,0.008,33,0.008,33,9.077e-04,3824,0.087,350,1.860e-04,8.121e-04,8.013e-06,1.443e-06,0.218,3554423,0.218,3554423,0.907,15426811904.000,0.012,100,0.012,100,9.077e-04,3824,0.087,350,
1624,1624,0,0,0,0,7.475e-05,1218.585,7.475e-05,1218.585,1.052e-04,857.540,5.217e-06,0.006,0,0.007,2.529e-04,0,2.529e-04,0,2.549e-06,0,0.006,0.004,1.956e-06,1.383e-06,7,7,7,0.033,0.049,2.038e-06,1.441e-06,0,0,0.541,2.500e-04,0.993,2.475e-04,0,0,0,0,2.095e-05,0,2.095e-05,0,0,0,0.007,28,0.007,28,6.718e-05,283,0.041,164,0.059,239.968,0.059,239.968,0.296,1193.569,2.435e-04,3.074,0.008,32.760,0.008,32.760,0.296,1193.569,0.075,0.095,0.005,0.007,0.002,7,0.002,7,6.718e-05,283,0.041,164,2.856e-04,6.177e-05,2.016e-04,2.450e-05,0.021,343024,0.021,343024,0.907,15426809856.000,0.004,35,0.004,35,6.718e-05,283,0.041,164,
1625,1625,0,0,0,0,9.619e-06,156.811,9.619e-06,156.811,1.218e-05,99.250,5.911e-06,0.007,0,0.006,2.485e-04,0,2.485e-04,0,2.549e-06,0,0.006,0.004,2.384e-06,1.686e-06,3,3,7,0.017,0.020,2.213e-06,1.565e-06,0,0,0.526,2.434e-04,0.993,2.475e-04,0,0,0,0,2.097e-05,0,2.097e-05,0,0,0,0.004,17,0.004,17,5.768e-05,243,0.021,84,0.063,256.035,0.063,256.035,0.303,1222.036,2.576e-04,3.251,0.003,11.167,0.003,11.167,0.303,1222.036,0.046,0.058,0.004,0.006,0.002,8,0.002,8,5.768e-05,243,0.021,84,1.979e-04,5.273e-05,3.632e-05,3.303e-06,0.004,60561,0.004,60561,0.907,15426810880.000,0.003,25,0.003,25,5.768e-05,243,0.021,84,
1626,1626,1.381e-06,0,9.235e-06,6.530e-06,4.135e-04,6739.969,4.135e-04,6739.969,0.003,21479.061,1.318e-05,0.015,0,0.023,3.741e-04,0,3.741e-04,0,2.549e-06,0,0.019,0.013,1.382e-04,9.775e-05,11,11,7,0.089,0.026,4.684e-05,3.312e-05,9.235e-06,6.530e-06,0.530,2.450e-04,0.993,2.476e-04,9.235e-06,6.530e-06,9.235e-06,6.530e-06,2.098e-05,0,2.098e-05,0,0,0,0.005,20,0.005,20,1.949e-04,821,0.082,333,0.058,233.645,0.058,233.645,0.355,1434.336,3.280e-04,4.141,0.104,419.060,0.104,419.060,0.355,1434.336,0.053,0.067,0.016,0.023,0.004,17,0.004,17,1.949e-04,821,0.082,333,1.380e-04,1.728e-04,0.001,2.116e-04,0.338,5516069,0.338,5516069,0.907,15426812928.000,0.005,37,0.005,37,1.949e-04,821,0.082,333,
1627,1627,0,0,0,0,0,0,0,0,1.268e-04,1033.881,0,8.523e-04,0,1.646e-04,2.476e-04,0,2.476e-04,0,2.549e-06,0,0.004,0.003,0,0,1,1,8,0,0.325,1.475e-06,0,0,0,0.507,2.346e-04,0.993,2.475e-04,0,0,0,0,2.063e-05,0,2.063e-05,0,0,0,4.953e-04,2,4.953e-04,2,1.424e-06,6,0.001,6,7.429e-04,3,7.429e-04,3,0.257,1037.184,6.700e-05,0.846,2.476e-04,1,2.476e-04,1,0.257,1037.183,0.005,0.006,1.171e-04,1.646e-04,2.476e-04,1,2.476e-04,1,1.424e-06,6,0.001,6,8.465e-05,1.648e-06,0,0.001,2.476e-04,4038,2.476e-04,4038,0.907,15426808832.000,3.715e-04,3,3.715e-04,3,1.424e-06,6,0.001,6,
1628,1628,0,0,0,0,3.462e-05,564.316,3.462e-05,564.316,8.580e-06,69.935,1.192e-05,0.014,0,0.018,2.526e-04,0,2.526e-04,0,2.549e-06,0,0.008,0.006,4.866e-06,3.440e-06,8,8,7,0.018,0.010,2.704e-06,1.912e-06,0,0,0.595,2.751e-04,0.993,2.476e-04,0,0,0,0,2.099e-05,0,2.099e-05,0,0,0,0.016,66,0.016,66,1.764e-04,743,0.036,147,0.071,286.689,0.071,286.689,0.283,1142.898,3.232e-04,4.080,0.009,36.258,0.009,36.258,0.283,1142.898,0.183,0.231,0.013,0.018,0.004,16,0.004,16,1.764e-04,743,0.036,147,3.668e-04,1.613e-04,3.985e-05,0,0.020,326868,0.020,326868,0.907,15426809856.000,0.010,82,0.010,82,1.764e-04,743,0.036,147,
1629,1629,0,0,0,0,8.678e-05,1414.599,8.678e-05,1414.599,2.092e-05,170.480,3.679e-06,0.004,0,0.003,2.483e-04,0,2.483e-04,0,2.549e-06,0,0.005,0.003,0,0,4,4,7,0.025,0.005,1.734e-06,1.226e-06,0,0,0.526,2.433e-04,0.993,2.475e-04,0,0,0,0,2.096e-05,0,2.096e-05,0,0,0,0.004,17,0.004,17,2.991e-05,126,0.010,41,0.057,228.878,0.057,228.878,0.268,1081.861,2.070e-04,2.614,0.002,8.083,0.002,8.083,0.268,1081.859,0.045,0.057,0.002,0.003,0.001,5,0.001,5,2.991e-05,126,0.010,41,1.714e-04,2.810e-05,3.724e-04,1.094e-05,0.003,48446,0.003,48446,0.907,15426809856.000,0.003,22,0.003,22,2.991e-05,126,0.010,41,
1630,1630,0,0,0,0,9.942e-05,1620.649,9.942e-05,1620.649,3.152e-05,256.923,7.402e-06,0.009,0,0.009,2.534e-04,0,2.534e-04,0,2.549e-06,0,0.010,0.007,3.170e-06,2.241e-06,5,5,7,0.034,0.013,3.449e-06,2.439e-06,0,0,0.580,2.684e-04,0.993,2.475e-04,0,0,0,0,2.098e-05,0,2.098e-05,0,0,0,0.014,57,0.014,57,8.949e-05,377,0.036,146,0.081,325.111,0.081,325.111,0.307,1238.736,2.805e-04,3.541,0.010,39.400,0.010,39.400,0.307,1238.736,0.154,0.194,0.007,0.009,0.002,10,0.002,10,8.949e-05,377,0.036,146,4.455e-04,8.183e-05,1.401e-04,5.511e-06,0.023,375364,0.023,375364,0.907,15426810880.000,0.008,67,0.008,67,8.949e-05,377,0.036,146,
1631,1631,0,0,0,0,0,0,0,0,1.167e-04,951.410,0,8.660e-04,0,8.885e-04,2.488e-04,0,2.488e-04,0,2.549e-06,0,0.005,0.003,0,0,6,6,7,0,0.851,1.802e-06,1.274e-06,0,0,0.515,2.381e-04,0.993,2.475e-04,0,0,0,0,2.097e-05,0,2.097e-05,0,0,0,0.002,8,0.002,8,8.546e-06,36,0.009,36,0.053,213.470,0.053,213.470,0.307,1239.486,6.705e-05,0.846,0.002,7.067,0.002,7.067,0.307,1239.486,0.022,0.028,6.319e-04,8.885e-04,2.476e-04,1,2.476e-04,1,8.546e-06,36,0.009,36,1.321e-04,8.114e-06,0,2.137e-04,0.005,80713,0.005,80713,0.907,15426810880.000,0.001,9,0.001,9,8.546e-06,36,0.009,36,
1632,1632,3.039e-06,2.149e-06,2.028e-06,1.434e-06,3.469e-05,565.514,3.469e-05,565.514,4.117e-04,3355.872,2.060e-05,0.024,2.103e-06,0.091,3.164e-04,0,3.164e-04,0,2.549e-06,0,0.066,0.047,7.183e-05,5.079e-05,5,5,7,0.018,0.003,1.557e-05,1.101e-05,2.028e-06,1.434e-06,0.581,2.686e-04,0.993,2.477e-04,2.028e-06,1.434e-06,2.028e-06,1.434e-06,2.101e-05,0,2.101e-05,0,0,0,0.013,53,0.013,53,7.544e-04,3178,0.088,357,0.079,319.581,0.079,319.581,0.333,1344.403,3.583e-04,4.523,0.066,266.167,0.066,266.167,0.333,1344.402,0.162,0.203,0.065,0.091,0.006,26,0.006,26,7.544e-04,3178,0.088,357,1.682e-04,6.754e-04,4.145e-05,8.539e-06,0.218,3547098,0.218,3547098,0.907,15426811904.000,0.010,79,0.010,79,7.544e-04,3178,0.088,357,
1633,1633,0,0,0,0,4.750e-06,77.438,4.750e-06,77.438,1.836e-05,149.642,2.962e-06,0.003,0,0.004,2.532e-04,0,2.532e-04,0,2.549e-06,0,0.005,0.004,0,0,7,7,7,0.024,0.044,1.863e-06,1.317e-06,0,0,0.529,2.447e-04,0.993,2.475e-04,0,0,0,0,2.096e-05,0,2.096e-05,0,0,0,0.005,19,0.005,19,3.608e-05,152,0.021,83,0.061,246.802,0.061,246.802,0.300,1211.303,1.832e-04,2.313,0.007,27.660,0.007,27.660,0.300,1211.302,0.052,0.065,0.003,0.004,9.906e-04,4,9.906e-04,4,3.608e-05,152,0.021,83,2.230e-04,3.322e-05,1.950e-05,7.961e-06,0.022,359127,0.022,359127,0.907,15426810880.000,0.003,23,0.003,23,3.608e-05,152,0.021,83,
1634,1634,0,0,0,0,5.463e-06,89.047,5.463e-06,89.047,3.900e-05,317.914,5.170e-06,0.006,0,0.007,2.531e-04,0,2.531e-04,0,2.549e-06,0,0.006,0.004,2.212e-06,1.564e-06,6,6,7,0.022,0.018,2.031e-06,1.436e-06,0,0,0.545,2.518e-04,0.993,2.475e-04,0,0,0,0,2.096e-05,0,2.096e-05,0,0,0,0.008,31,0.008,31,7.074e-05,298,0.033,134,0.063,255.759,0.063,255.759,0.295,1189.369,2.435e-04,3.074,0.008,32.717,0.008,32.717,0.295,1189.369,0.084,0.105,0.005,0.007,0.002,7,0.002,7,7.074e-05,298,0.033,134,3.473e-04,6.502e-05,1.357e-05,8.627e-06,0.022,355145,0.022,355145,0.907,15426810880.000,0.005,38,0.005,38,7.074e-05,298,0.033,134,
1635,1635,0,0,0,0,1.499e-05,244.316,1.499e-05,244.316,6.697e-06,54.586,5.185e-06,0.006,0,0.010,2.524e-04,0,2.524e-04,0,2.549e-06,0,0.006,0.004,2.397e-06,1.695e-06,8,8,7,0.012,0.007,1.981e-06,1.401e-06,0,0,0.540,2.497e-04,0.993,2.475e-04,0,0,0,0,2.099e-05,0,2.099e-05,0,0,0,0.007,27,0.007,27,9.376e-05,395,0.027,108,0.065,263.482,0.065,263.482,0.266,1073.822,2.434e-04,3.073,0.007,26.375,0.007,26.375,0.266,1073.821,0.075,0.094,0.007,0.010,0.002,7,0.002,7,9.376e-05,395,0.027,108,1.779e-04,8.624e-05,4.161e-05,0,0.019,310687,0.019,310687,0.907,15426808832.000,0.004,34,0.004,34,9.376e-05,395,0.027,108,
